"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","States","Maryland","2009-10","Sex","Male","69.5","16700"
"Seasonal Influenza","States","Maryland","2006-07","Sex","Male","64.8","16352"
"Seasonal Influenza","States","Maryland","2008-09","Sex","Male","69.0","16800"
"Seasonal Influenza","States","Maryland","2007-08","Sex","Male","67.3","16699"
"Seasonal Influenza","States","Maryland","2015-16","Sex","Female","74.5","32051"
"Seasonal Influenza","States","Maryland","2016-17","Sex","Female","75.1","32145"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","Asian, Non-Hispanic","63.7","1279"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","Asian, Non-Hispanic","63.2","1215"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","Asian, Non-Hispanic","62.9","1083"
"Seasonal Influenza","States","Maryland","2005-06","Age","25-44 Years","49.4","1446"
"Seasonal Influenza","States","Maryland","2020-21","Age","18-24 Years","47.2","53"
"Seasonal Influenza","States","Maryland","2019-20","Age","18-24 Years","45.3","64"
"Pneumococcal","States","Maryland","2006","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","63.7","669"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","Asian, Non-Hispanic","61.4","1079"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","Asian, Non-Hispanic","62.1","1374"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","Asian, Non-Hispanic","63.5","1351"
"Seasonal Influenza","States","Maryland","2019-20","Marital Status","Divorced","71.8","6279"
"Seasonal Influenza","States","Maryland","2018-19","Marital Status","Divorced","71.7","6375"
"Seasonal Influenza","States","Maryland","2017-18","Marital Status","Divorced","71.7","6104"
"Seasonal Influenza","States","Maryland","2016-17","Marital Status","Divorced","73.3","6014"
"Seasonal Influenza","States","Maryland","2015-16","Marital Status","Divorced","71.8","5720"
"Seasonal Influenza","States","Maryland","2014-15","Marital Status","Divorced","73.1","5421"
"Seasonal Influenza","States","Maryland","2013-14","Marital Status","Divorced","74.6","5109"
"Seasonal Influenza","States","Maryland","2005-06","Sex","Male","63.6","16365"
"Seasonal Influenza","States","Maryland","2019-20","Sex","Female","74.3","29582"
"Seasonal Influenza","States","Maryland","2020-21","Sex","Female","74.3","24879"
"Seasonal Influenza","States","Maryland","2018-19","Sex","Female","74.8","30795"
"Seasonal Influenza","States","Maryland","2017-18","Sex","Female","74.8","31413"
"Seasonal Influenza","States","Maryland","2016-17","Age","18-24 Years","54.0","100"
"Seasonal Influenza","States","Maryland","2015-16","Age","18-24 Years","56.2","89"
"Seasonal Influenza","States","Maryland","2014-15","Age","18-24 Years","57.5","87"
"Seasonal Influenza","States","Maryland","2013-14","Age","18-24 Years","53.8","106"
"Seasonal Influenza","States","Maryland","2012-13","Age","18-24 Years","54.4","79"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","Asian, Non-Hispanic","72.2","897"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","Asian, Non-Hispanic","70.7","890"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","Asian, Non-Hispanic","68.3","858"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","Asian, Non-Hispanic","71.1","764"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Asian, Non-Hispanic","57.7","123"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","57.4","68"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","63.0","54"
"Seasonal Influenza","States","Maryland","2008-09","Age","18-24 Years","47.1","85"
"Seasonal Influenza","States","Maryland","2007-08","Age","18-24 Years","47.8","67"
"Seasonal Influenza","States","Maryland","2006-07","Age","18-24 Years","51.1","88"
"Seasonal Influenza","States","Maryland","2005-06","Age","18-24 Years","41.1","90"
"Seasonal Influenza","States","Maryland","2011-12","Age","18-24 Years","48.2","85"
"Seasonal Influenza","States","Maryland","2010-11","Age","18-24 Years","53.0","83"
"Seasonal Influenza","States","Maryland","2009-10","Age","18-24 Years","39.3","89"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","Black, Non-Hispanic","66.5","20706"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Black, Non-Hispanic","66.3","20289"
"Seasonal Influenza","States","Maryland","2008-09","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","66.7","87"
"Pneumococcal","States","Maryland","2009","Race and Ethnicity","Black, Non-Hispanic","65.5","19533"
"Seasonal Influenza","States","Maryland","2007-08","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","60.6","109"
"Seasonal Influenza","States","Maryland","2006-07","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","74.6","59"
"Seasonal Influenza","States","Maryland","2005-06","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","60.4","48"
"Seasonal Influenza","States","Maryland","2020-21","Marital Status","Widowed","77.9","12326"
"Seasonal Influenza","States","Maryland","2010-11","Age","25-44 Years","60.4","1030"
"Pneumococcal","States","Maryland","2008","Race and Ethnicity","Black, Non-Hispanic","63.1","19185"
"Pneumococcal","States","Maryland","2007","Race and Ethnicity","Black, Non-Hispanic","59.4","18594"
"Seasonal Influenza","States","Maryland","2013-14","Sex","Male","73.8","18638"
"Seasonal Influenza","States","Maryland","2015-16","Sex","Male","70.8","20026"
"Seasonal Influenza","States","Maryland","2014-15","Sex","Male","73.0","19825"
"Seasonal Influenza","States","Maryland","2009-10","Age","25-44 Years","56.1","1083"
"Seasonal Influenza","States","Maryland","2008-09","Age","25-44 Years","54.8","1094"
"Seasonal Influenza","States","Maryland","2007-08","Age","25-44 Years","56.2","1125"
"Seasonal Influenza","States","Maryland","2006-07","Age","25-44 Years","48.8","1204"
"Seasonal Influenza","States","Maryland","2013-14","Marital Status","Widowed","80.0","18402"
"Seasonal Influenza","States","Maryland","2012-13","Marital Status","Widowed","79.7","19129"
"Seasonal Influenza","States","Maryland","2011-12","Marital Status","Widowed","79.1","19076"
"Seasonal Influenza","States","Maryland","2020-21","Sex","Male","70.0","18342"
"Seasonal Influenza","States","Maryland","2019-20","Sex","Male","69.6","20424"
"Seasonal Influenza","States","Maryland","2018-19","Sex","Male","71.1","20916"
"Seasonal Influenza","States","Maryland","2017-18","Sex","Male","71.3","20898"
"Seasonal Influenza","States","Maryland","2016-17","Sex","Male","71.5","20665"
"Pneumococcal","States","Maryland","2007","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","65.1","719"
"Pneumococcal","States","Maryland","2006","Race and Ethnicity","Black, Non-Hispanic","55.6","18154"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","64.7","411"
"Pneumococcal","States","Maryland","2009","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","68.8","865"
"Pneumococcal","States","Maryland","2008","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","68.6","780"
"Seasonal Influenza","States","Maryland","2017-18","Marital Status","Widowed","78.3","17239"
"Seasonal Influenza","States","Maryland","2016-17","Marital Status","Widowed","78.5","18027"
"Seasonal Influenza","States","Maryland","2015-16","Marital Status","Widowed","78.4","18157"
"Seasonal Influenza","States","Maryland","2014-15","Marital Status","Widowed","78.9","18836"
"Seasonal Influenza","States","Maryland","2018-19","Marital Status","Widowed","78.2","16600"
"Seasonal Influenza","States","Maryland","2019-20","Marital Status","Widowed","77.5","15401"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","Black, Non-Hispanic","57.6","23338"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","Black, Non-Hispanic","68.4","21630"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","Black, Non-Hispanic","68.9","21176"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","Black, Non-Hispanic","67.3","20696"
"Pneumococcal","States","Maryland","2007","Race and Ethnicity","Hispanic","63.3","488"
"Pneumococcal","States","Maryland","2006","Race and Ethnicity","Hispanic","59.9","444"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","Black, Non-Hispanic","53.1","22484"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","Black, Non-Hispanic","54.5","25752"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","Black, Non-Hispanic","57.3","25076"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","Black, Non-Hispanic","57.2","24595"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","Black, Non-Hispanic","58.5","24917"
"Seasonal Influenza","States","Maryland","2016-17","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","78.6","56"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","72.6","62"
"Seasonal Influenza","States","Maryland","2014-15","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","67.2","64"
"Seasonal Influenza","States","Maryland","2013-14","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","68.8","48"
"Seasonal Influenza","States","Maryland","2012-13","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","69.6","46"
"Seasonal Influenza","States","Maryland","2011-12","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","71.8","39"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","74.4","43"
"Seasonal Influenza","States","Maryland","2009-10","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","67.0","91"
"Seasonal Influenza","States","Maryland","2018-19","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","69.2","52"
"Seasonal Influenza","States","Maryland","2017-18","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","73.4","64"
"Pneumococcal","States","Maryland","2010","All Residents",">=18 Years","73.4","70448"
"Pneumococcal","States","Maryland","2009","All Residents",">=18 Years","71.8","69578"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Hispanic","69.9","565"
"Pneumococcal","States","Maryland","2009","Race and Ethnicity","Hispanic","66.8","578"
"Seasonal Influenza","States","Maryland","2012-13","Race and Ethnicity","Asian, Non-Hispanic","78.2","643"
"Pneumococcal","States","Maryland","2008","Race and Ethnicity","Hispanic","62.0","524"
"Seasonal Influenza","States","Maryland","2011-12","Race and Ethnicity","Asian, Non-Hispanic","76.0","587"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","Asian, Non-Hispanic","78.4","518"
"Seasonal Influenza","States","Maryland","2019-20","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","74.5","47"
"Seasonal Influenza","States","Maryland","2020-21","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","65.8","38"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","72.1","68"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","68.3","41"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","40.0","10"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","Multiple Races, Non-Hispanic","77.6","49"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","Multiple Races, Non-Hispanic","54.5","33"
"Pneumococcal","States","Maryland","2018","All Residents",">=18 Years","65.4","75814"
"Pneumococcal","States","Maryland","2017","All Residents",">=18 Years","66.8","76602"
"Pneumococcal","States","Maryland","2016","All Residents",">=18 Years","66.4","76966"
"Pneumococcal","States","Maryland","2015","All Residents",">=18 Years","66.5","76189"
"Pneumococcal","States","Maryland","2014","All Residents",">=18 Years","75.3","75626"
"Pneumococcal","States","Maryland","2013","All Residents",">=18 Years","75.8","74511"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","Multiple Races, Non-Hispanic","68.8","80"
"Pneumococcal","States","Maryland","2012","All Residents",">=18 Years","74.9","73209"
"Seasonal Influenza","States","Maryland","2014-15","Race and Ethnicity","Asian, Non-Hispanic","78.2","707"
"Seasonal Influenza","States","Maryland","2013-14","Race and Ethnicity","Asian, Non-Hispanic","78.9","615"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","Hispanic","60.1","864"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","Hispanic","69.0","754"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","Hispanic","70.1","658"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","Hispanic","69.0","667"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","Hispanic","69.7","634"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","73.6","53"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","69.1","68"
"Pneumococcal","States","Maryland","2019","All Residents",">=18 Years","63.3","75675"
"Seasonal Influenza","States","Maryland","2011-12","Race and Ethnicity","Black, Non-Hispanic","67.2","14583"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","Black, Non-Hispanic","65.6","14549"
"Seasonal Influenza","States","Maryland","2009-10","Race and Ethnicity","Black, Non-Hispanic","64.9","14254"
"Seasonal Influenza","States","Maryland","2008-09","Race and Ethnicity","Black, Non-Hispanic","64.5","13967"
"Seasonal Influenza","States","Maryland","2007-08","Race and Ethnicity","Black, Non-Hispanic","64.1","13755"
"Seasonal Influenza","States","Maryland","2006-07","Race and Ethnicity","Black, Non-Hispanic","61.7","13430"
"Seasonal Influenza","States","Maryland","2005-06","Race and Ethnicity","Black, Non-Hispanic","60.7","13277"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","57.7","52"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","52.5","40"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","71.4","70"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","61.4","70"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","62.5","64"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","67.7","65"
"Seasonal Influenza","States","Maryland","2018-19","Race and Ethnicity","Black, Non-Hispanic","66.1","17749"
"Seasonal Influenza","States","Maryland","2017-18","Race and Ethnicity","Black, Non-Hispanic","67.5","17526"
"Seasonal Influenza","States","Maryland","2016-17","Race and Ethnicity","Black, Non-Hispanic","66.5","17405"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","Black, Non-Hispanic","65.9","16798"
"Seasonal Influenza","States","Maryland","2014-15","Race and Ethnicity","Black, Non-Hispanic","68.0","15650"
"Seasonal Influenza","States","Maryland","2013-14","Race and Ethnicity","Black, Non-Hispanic","68.8","14950"
"Seasonal Influenza","States","Maryland","2012-13","Race and Ethnicity","Black, Non-Hispanic","67.8","14685"
"Pneumococcal","States","Maryland","2010","Age","18-24 Years","42.9","126"
"Pneumococcal","States","Maryland","2009","Age","18-24 Years","34.5","142"
"Pneumococcal","States","Maryland","2008","Age","18-24 Years","34.1","129"
"Pneumococcal","States","Maryland","2007","Age","18-24 Years","37.3","118"
"Pneumococcal","States","Maryland","2006","Age","18-24 Years","29.2","137"
"Pneumococcal","States","Maryland","2020","All Residents",">=18 Years","61.2","63624"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","Multiple Races, Non-Hispanic","61.7","60"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","Multiple Races, Non-Hispanic","68.1","69"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","Multiple Races, Non-Hispanic","71.8","78"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","Multiple Races, Non-Hispanic","71.3","94"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","Multiple Races, Non-Hispanic","75.9","83"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","Multiple Races, Non-Hispanic","78.5","79"
"Seasonal Influenza","States","Maryland","2009-10","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","74.6","661"
"Seasonal Influenza","States","Maryland","2008-09","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","75.8","570"
"Pneumococcal","States","Maryland","2008","All Residents",">=18 Years","69.0","69240"
"Pneumococcal","States","Maryland","2007","All Residents",">=18 Years","65.7","68057"
"Pneumococcal","States","Maryland","2006","All Residents",">=18 Years","63.0","67164"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","Multiple Races, Non-Hispanic","68.2","22"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","Hispanic","53.7","945"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","Hispanic","55.7","987"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","Hispanic","62.3","1020"
"Seasonal Influenza","States","Maryland","2007-08","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","76.5","570"
"Seasonal Influenza","States","Maryland","2006-07","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","72.5","520"
"Seasonal Influenza","States","Maryland","2005-06","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","70.3","472"
"Seasonal Influenza","States","Maryland","2020-21","Race and Ethnicity","Asian, Non-Hispanic","77.1","690"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","Multiple Races, Non-Hispanic","75.0","72"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","Hispanic","62.9","984"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","Hispanic","57.3","888"
"Seasonal Influenza","States","Maryland","2019-20","Race and Ethnicity","Asian, Non-Hispanic","77.4","944"
"Seasonal Influenza","States","Maryland","2018-19","Race and Ethnicity","Asian, Non-Hispanic","79.5","919"
"Seasonal Influenza","States","Maryland","2017-18","Race and Ethnicity","Asian, Non-Hispanic","77.6","945"
"Seasonal Influenza","States","Maryland","2016-17","Race and Ethnicity","Asian, Non-Hispanic","76.7","860"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","Asian, Non-Hispanic","75.3","831"
"Pneumococcal","States","Maryland","2011","All Residents",">=18 Years","74.3","72447"
"Pneumococcal","States","Maryland","2014","Age","18-24 Years","38.0","137"
"Pneumococcal","States","Maryland","2013","Age","18-24 Years","36.4","143"
"Pneumococcal","States","Maryland","2012","Age","18-24 Years","39.7","136"
"Pneumococcal","States","Maryland","2006","Race and Ethnicity","White, Non-Hispanic","66.3","46112"
"Pneumococcal","States","Maryland","2011","Age","18-24 Years","45.5","134"
"Pneumococcal","States","Maryland","2019","Race and Ethnicity","White, Non-Hispanic","68.8","44925"
"Pneumococcal","States","Maryland","2018","Race and Ethnicity","White, Non-Hispanic","70.3","45596"
"Pneumococcal","States","Maryland","2017","Race and Ethnicity","White, Non-Hispanic","71.8","46255"
"Pneumococcal","States","Maryland","2016","Race and Ethnicity","White, Non-Hispanic","72.2","46677"
"Pneumococcal","States","Maryland","2015","Race and Ethnicity","White, Non-Hispanic","71.9","45954"
"Pneumococcal","States","Maryland","2014","Race and Ethnicity","White, Non-Hispanic","79.6","45905"
"Seasonal Influenza","States","Maryland","2016-17","Race and Ethnicity","Hispanic","73.4","643"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","Hispanic","70.7","631"
"Seasonal Influenza","States","Maryland","2013-14","Race and Ethnicity","White, Non-Hispanic","79.6","30780"
"Seasonal Influenza","States","Maryland","2012-13","Race and Ethnicity","White, Non-Hispanic","80.1","31397"
"Seasonal Influenza","States","Maryland","2011-12","Race and Ethnicity","White, Non-Hispanic","79.2","30705"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","White, Non-Hispanic","77.0","31461"
"Seasonal Influenza","States","Maryland","2009-10","Race and Ethnicity","White, Non-Hispanic","75.9","31223"
"Seasonal Influenza","States","Maryland","2008-09","Race and Ethnicity","White, Non-Hispanic","74.3","32008"
"Seasonal Influenza","States","Maryland","2007-08","Race and Ethnicity","White, Non-Hispanic","73.3","31895"
"Pneumococcal","States","Maryland","2015","Age","55-64 Years","54.2","9921"
"Pneumococcal","States","Maryland","2013","Age","65-74 Years","73.8","14496"
"Pneumococcal","States","Maryland","2012","Age","65-74 Years","72.6","13646"
"Pneumococcal","States","Maryland","2011","Age","65-74 Years","71.4","13031"
"Pneumococcal","States","Maryland","2010","Age","65-74 Years","69.8","12644"
"Pneumococcal","States","Maryland","2009","Age","65-74 Years","67.7","12228"
"Pneumococcal","States","Maryland","2008","Age","65-74 Years","64.5","11840"
"Pneumococcal","States","Maryland","2017","Age","55-64 Years","54.1","10100"
"Pneumococcal","States","Maryland","2016","Age","55-64 Years","53.0","10265"
"Pneumococcal","States","Maryland","2006","Age","65-74 Years","59.5","11309"
"Pneumococcal","States","Maryland","2020","Age","55-64 Years","48.5","8708"
"Pneumococcal","States","Maryland","2019","Age","55-64 Years","50.5","10044"
"Pneumococcal","States","Maryland","2018","Age","55-64 Years","52.5","9950"
"Pneumococcal","States","Maryland","2019","Age","65-74 Years","62.3","17227"
"Pneumococcal","States","Maryland","2018","Age","65-74 Years","64.1","16900"
"Pneumococcal","States","Maryland","2017","Age","65-74 Years","65.5","16790"
"Pneumococcal","States","Maryland","2016","Age","65-74 Years","65.3","16589"
"Pneumococcal","States","Maryland","2015","Age","65-74 Years","64.9","15882"
"Seasonal Influenza","States","Maryland","2019-20","Race and Ethnicity","White, Non-Hispanic","76.6","29258"
"Seasonal Influenza","States","Maryland","2020-21","Race and Ethnicity","White, Non-Hispanic","76.0","24725"
"Seasonal Influenza","States","Maryland","2018-19","Race and Ethnicity","White, Non-Hispanic","77.4","30816"
"Seasonal Influenza","States","Maryland","2017-18","Race and Ethnicity","White, Non-Hispanic","76.7","31504"
"Seasonal Influenza","States","Maryland","2016-17","Race and Ethnicity","White, Non-Hispanic","78.0","32099"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","White, Non-Hispanic","77.6","31384"
"Seasonal Influenza","States","Maryland","2014-15","Race and Ethnicity","White, Non-Hispanic","78.8","31694"
"Pneumococcal","States","Maryland","2007","Age","65-74 Years","60.7","11446"
"Pneumococcal","States","Maryland","2017","Age","25-44 Years","34.7","1904"
"Pneumococcal","States","Maryland","2016","Age","25-44 Years","35.9","1857"
"Pneumococcal","States","Maryland","2015","Age","25-44 Years","39.4","1639"
"Pneumococcal","States","Maryland","2014","Age","25-44 Years","52.1","1631"
"Pneumococcal","States","Maryland","2013","Age","25-44 Years","54.1","1524"
"Pneumococcal","States","Maryland","2012","Age","25-44 Years","52.4","1543"
"Pneumococcal","States","Maryland","2011","Age","25-44 Years","52.2","1559"
"Pneumococcal","States","Maryland","2020","Race and Ethnicity","White, Non-Hispanic","66.9","36898"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","Multiple Races, Non-Hispanic","74.6","67"
"Seasonal Influenza","States","Maryland","2019-20","Race and Ethnicity","Hispanic","70.0","696"
"Seasonal Influenza","States","Maryland","2020-21","Race and Ethnicity","Hispanic","72.8","647"
"Seasonal Influenza","States","Maryland","2018-19","Race and Ethnicity","Hispanic","73.6","677"
"Seasonal Influenza","States","Maryland","2017-18","Race and Ethnicity","Hispanic","76.0","737"
"Pneumococcal","States","Maryland","2012","Race and Ethnicity","White, Non-Hispanic","79.7","45706"
"Pneumococcal","States","Maryland","2011","Race and Ethnicity","White, Non-Hispanic","78.8","45838"
"Pneumococcal","States","Maryland","2010","Race and Ethnicity","White, Non-Hispanic","77.5","45542"
"Pneumococcal","States","Maryland","2009","Race and Ethnicity","White, Non-Hispanic","75.4","45666"
"Pneumococcal","States","Maryland","2008","Race and Ethnicity","White, Non-Hispanic","72.6","45635"
"Pneumococcal","States","Maryland","2007","Race and Ethnicity","White, Non-Hispanic","69.8","45353"
"Seasonal Influenza","States","Maryland","2009-10","Race and Ethnicity","Hispanic","70.8","391"
"Seasonal Influenza","States","Maryland","2008-09","Race and Ethnicity","Hispanic","71.3","369"
"Seasonal Influenza","States","Maryland","2007-08","Race and Ethnicity","Hispanic","70.3","354"
"Seasonal Influenza","States","Maryland","2006-07","Race and Ethnicity","Hispanic","65.3","357"
"Seasonal Influenza","States","Maryland","2005-06","Race and Ethnicity","Hispanic","64.4","317"
"Seasonal Influenza","States","Maryland","2020-21","Race and Ethnicity","Black, Non-Hispanic","67.4","15621"
"Seasonal Influenza","States","Maryland","2019-20","Race and Ethnicity","Black, Non-Hispanic","65.3","17726"
"Pneumococcal","States","Maryland","2017","Age","18-24 Years","36.0","150"
"Pneumococcal","States","Maryland","2016","Age","18-24 Years","34.3","166"
"Pneumococcal","States","Maryland","2015","Age","18-24 Years","28.2","149"
"Pneumococcal","States","Maryland","2013","Race and Ethnicity","White, Non-Hispanic","79.9","46257"
"Pneumococcal","States","Maryland","2007","Age","25-44 Years","44.4","1692"
"Pneumococcal","States","Maryland","2006","Age","25-44 Years","42.3","1916"
"Pneumococcal","States","Maryland","2019","Age","18-24 Years","22.7","119"
"Pneumococcal","States","Maryland","2020","Age","18-24 Years","19.1","89"
"Seasonal Influenza","States","Maryland","2014-15","Race and Ethnicity","Hispanic","73.8","550"
"Seasonal Influenza","States","Maryland","2013-14","Race and Ethnicity","Hispanic","78.5","497"
"Seasonal Influenza","States","Maryland","2012-13","Race and Ethnicity","Hispanic","74.0","465"
"Seasonal Influenza","States","Maryland","2011-12","Race and Ethnicity","Hispanic","69.6","467"
"Seasonal Influenza","States","Maryland","2010-11","Race and Ethnicity","Hispanic","74.3","416"
"Pneumococcal","States","Maryland","2010","Age","25-44 Years","52.4","1526"
"Pneumococcal","States","Maryland","2018","Age","18-24 Years","32.4","139"
"Pneumococcal","States","Maryland","2009","Age","25-44 Years","52.5","1632"
"Pneumococcal","States","Maryland","2008","Age","25-44 Years","49.4","1618"
"Seasonal Influenza","States","Maryland","2015-16","Race and Ethnicity","Native Hawaiian or Other Pacific Islander, Non-Hispanic","75.0","40"
"Pneumococcal","States","Maryland","2010","Age","75-84 Years","76.4","21251"
"Pneumococcal","States","Maryland","2009","Age","75-84 Years","74.3","21480"
"Pneumococcal","States","Maryland","2008","Age","75-84 Years","71.7","21976"
"Pneumococcal","States","Maryland","2007","Age","75-84 Years","68.6","22241"
"Seasonal Influenza","States","Maryland","2011-12","Sex","Female","76.0","31570"
"Seasonal Influenza","States","Maryland","2010-11","Sex","Female","74.1","31586"
"Seasonal Influenza","States","Maryland","2009-10","Sex","Female","73.1","31442"
"Seasonal Influenza","States","Maryland","2008-09","Sex","Female","71.9","31705"
"Seasonal Influenza","States","Maryland","2007-08","Sex","Female","71.2","31644"
"Seasonal Influenza","States","Maryland","2006-07","Sex","Female","69.2","31773"
"Seasonal Influenza","States","Maryland","2005-06","Sex","Female","68.5","31495"
"Pneumococcal","States","Maryland","2014","Age","65-74 Years","74.1","15191"
"Pneumococcal","States","Maryland","2006","Age","75-84 Years","65.3","22661"
"Pneumococcal","States","Maryland","2020","Age","65-74 Years","60.1","15006"
"Pneumococcal","States","Maryland","2006","Age","55-64 Years","48.3","6258"
"Pneumococcal","States","Maryland","2020","Age","45-54 Years","40.2","2859"
"Pneumococcal","States","Maryland","2008","Age","55-64 Years","55.0","7020"
"Pneumococcal","States","Maryland","2019","Age","45-54 Years","42.5","3392"
"Pneumococcal","States","Maryland","2018","Age","45-54 Years","44.0","3651"
"Pneumococcal","States","Maryland","2017","Age","45-54 Years","46.8","3895"
"Pneumococcal","States","Maryland","2007","Age","55-64 Years","50.8","6605"
"Pneumococcal","States","Maryland","2010","Age","55-64 Years","59.7","7501"
