"reporting_area","mmwr_year","mmwr_week","gonorrhea_current_week","gonorrhea_current_week_flag","gonorrhea_previous_52_weeks_max","gonorrhea_previous_52_weeks_max_flag","gonorrhea_cum_2019","gonorrhea_cum_2019_flag","gonorrhea_cum_2018","gonorrhea_cum_2018_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_current_week_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2019_flag","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018","haemophilus_influenza_invasive_disease_all_ages_all_serotypes_all_ages_all_serotypes_cum_2018_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_current_week_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_previous_52_weeks_max_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2019_flag","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018","haemophilus_influenza_invasive_disease_age_5_years_serotype_b_cum_2018_flag","location_1","location_2"
"MISSOURI","2019","16","221",,"389",,"4491",,"4328",,"3",,"10",,"52",,"60",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.636168, -92.566292)",
"SOUTH DAKOTA","2019","16",,"-","50",,"357",,"470",,,"-","2",,"6",,"7",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.35371, -100.373709)",
"VERMONT","2019","16",,"-","14",,"2",,"90",,,"-","3",,"4",,"6",,,"-","0",,,"-",,"-","
, VERMONT 
(43.622479, -72.51927)",
"DELAWARE","2019","16",,"-","79",,"550",,"420",,,"-","3",,"7",,"8",,,"-","0",,,"-",,"-","
, DELAWARE 
(39.008676, -75.574561)",
"NEW HAMPSHIRE","2019","16","1",,"23",,"137",,"182",,,"-","3",,"10",,"12",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.657736, -71.500736)",
"NEW JERSEY","2019","16","108",,"236",,"2727",,"2456",,,"-","10",,"25",,"62",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.104655, -74.386686)",
"MISSISSIPPI","2019","16","108",,"277",,"2367",,"2858",,,"-","4",,"25",,"33",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.738663, -89.537312)",
"OREGON","2019","16","120",,"158",,"1715",,"1825",,"2",,"7",,"32",,"38",,,"-","0",,,"-",,"-","
, OREGON 
(44.567912, -120.156945)",
"U.S. VIRGIN ISLANDS","2019","16",,"-","4",,,"-","10",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"NORTH CAROLINA","2019","16","4",,"550",,"5740",,"6865",,,"-","10",,"63",,"70",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.47995, -79.180571)",
"VIRGINIA","2019","16","265",,"356",,"4002",,"3526",,"3",,"13",,"51",,"44",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.542699, -78.45822)",
"ALASKA","2019","16",,"-","60",,,"-","694",,"2",,"3",,"9",,"13",,,"-","0",,,"-",,"-","
, ALASKA 
(64.836661, -147.738891)",
"CALIFORNIA","2019","16","140",,"1782",,"22440",,"23819",,,"-","3",,"14",,"19",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.640735, -121.002435)",
"CONNECTICUT","2019","16",,"U",,"NC",,"U",,"U",,"-","5",,"15",,"14",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.544654, -72.651713)",
"VIRGINIA","2019","17","279",,"356",,"4280",,"3754",,"2",,"13",,"53",,"45",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.510861, -78.666382)",
"TEXAS","2019","16",,"-","1070",,,"-","14604",,,"-","45",,"123",,"166",,,"-","1",,"1",,,"-","
, TEXAS 
(31.827233, -99.423022)",
"IDAHO","2019","16","24",,"52",,"440",,"258",,,"-","3",,"13",,"8",,,"-","0",,,"-",,"-","
, IDAHO 
(43.680635, -114.364237)",
"KENTUCKY","2019","16",,"-","1259",,,"-","751",,,"-","7",,"23",,"46",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.64591, -84.774043)",
"NORTHERN MARIANA ISLANDS","2019","16",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"ARKANSAS","2019","16",,"-","183",,"615",,"2184",,"3",,"8",,"39",,"25",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.748745, -92.275105)",
"LOUISIANA","2019","16","81",,"293",,"3156",,"3350",,,"-","8",,"27",,"35",,,"-","0",,,"-",,"-","
, LOUISIANA 
(31.2931, -92.463284)",
"RHODE ISLAND","2019","16","32",,"139",,"282",,"262",,,"-","4",,"8",,"7",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.707447, -71.522488)",
"NEBRASKA","2019","16",,"-","106",,"420",,"836",,"1",,"3",,"8",,"9",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.640503, -99.367122)",
"KANSAS","2019","16","57",,"131",,"1479",,"1432",,,"-","1",,,"-","11",,,"-","0",,,"-",,"-","
, KANSAS 
(38.345528, -98.201847)",
"SOUTH CAROLINA","2019","16",,"-","520",,,"-","7021",,,"-","6",,"29",,"52",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(34.009286, -81.037094)",
"TENNESSEE","2019","16","67",,"392",,"3841",,"4225",,,"-","9",,"77",,"62",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.681402, -85.774444)",
"KENTUCKY","2019","17",,"-","1730",,"1029",,"877",,,"-","7",,"23",,"46",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.526683, -85.290484)",
"DELAWARE","2019","17",,"-","79",,"588",,"413",,,"-","3",,"7",,"8",,,"-","0",,,"-",,"-","
, DELAWARE 
(38.994926, -75.452394)",
"DISTRICT OF COLUMBIA","2019","17",,"-","109",,,"-","1348",,,"-","3",,"4",,"4",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.904785, -77.016275)",
"CALIFORNIA","2019","17","172",,"1777",,"23850",,"15326",,,"-","3",,"15",,"19",,,"-","0",,,"-",,"-","
, CALIFORNIA 
(37.211164, -119.662127)",
"CONNECTICUT","2019","17",,"U",,"NC",,"U",,"U",,"-","5",,"15",,"14",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.575155, -72.738288)",
"MOUNTAIN","2019","17","320",,"888",,"11496",,"11700",,"9",,"20",,"216",,"177",,,"-","1",,,"-","2",,,"
, MOUNTAIN "
"PUERTO RICO","2019","17",,"-","19",,"91",,"161",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"TEXAS","2019","17",,"-","1070",,,"-","15494",,,"-","45",,"123",,"177",,,"-","1",,"1",,,"-","
, TEXAS 
(31.447238, -99.317341)",
"INDIANA","2019","17",,"-","326",,"2912",,"3790",,,"-","8",,"49",,"66",,,"-","2",,,"-",,"-","
, INDIANA 
(39.919991, -86.2818)",
"ARIZONA","2019","17","64",,"305",,"3895",,"3990",,"3",,"8",,"89",,"58",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.293239, -111.664616)",
"PACIFIC","2019","17","418",,"2076",,"28249",,"22365",,,"-","8",,"72",,"93",,,"-","1",,,"-","2",,,"
, PACIFIC "
"AMERICAN SAMOA","2019","17",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"IDAHO","2019","17","20",,"52",,"467",,"272",,"2",,"3",,"17",,"8",,,"-","0",,,"-",,"-","
, IDAHO 
(44.389073, -114.659366)",
"TOTAL","2019","17","3808",,"11928",,"139906",,"171226",,"47",,"199",,"1804",,"2040",,,"-","3",,"3",,"10",,,"
, TOTAL "
"WEST VIRGINIA","2019","17",,"-","83",,"350",,"342",,,"-","4",,"13",,"17",,,"-","1",,,"-","1",,"
, WEST VIRGINIA 
(38.642579, -80.613729)",
"LOUISIANA","2019","17","130",,"294",,"3570",,"3555",,,"-","8",,"27",,"35",,,"-","0",,,"-",,"-","
, LOUISIANA 
(30.921314, -91.840238)",
"EAST NORTH CENTRAL","2019","17","401",,"1988",,"21294",,"26064",,"9",,"35",,"295",,"351",,,"-","2",,"1",,"3",,,"
, EAST NORTH CENTRAL "
"HAWAII","2019","17",,"-","45",,,"-","432",,,"-","3",,"14",,"16",,,"-","0",,,"-",,"-","
, HAWAII 
(21.361013, -157.854309)",
"MAINE","2019","17","2",,"25",,"158",,"213",,,"-","4",,"13",,"8",,,"-","0",,,"-",,"-","
, MAINE 
(45.117911, -69.06137)",
"NORTH CAROLINA","2019","17","1",,"550",,"6136",,"7297",,,"-","10",,"70",,"72",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.52603, -79.130883)",
"ILLINOIS","2019","17",,"-","590",,"3375",,"7604",,,"-","11",,"64",,"82",,,"-","2",,,"-","2",,"
, ILLINOIS 
(40.124144, -89.148632)",
"COLORADO","2019","17","153",,"269",,"2822",,"2654",,"3",,"8",,"49",,"44",,,"-","0",,,"-","1",,"
, COLORADO 
(38.998552, -105.547832)",
"NORTH DAKOTA","2019","17",,"-","41",,"375",,"364",,,"-","2",,"8",,"7",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.446305, -100.46931)",
"PENNSYLVANIA","2019","17","216",,"377",,"4736",,"5045",,"3",,"12",,"78",,"96",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.896694, -77.838886)",
"FLORIDA","2019","17","401",,"774",,"10105",,"9826",,"7",,"14",,"124",,"141",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.260731, -82.420978)",
"EAST SOUTH CENTRAL","2019","17","469",,"2265",,"12018",,"12330",,,"-","18",,"167",,"183",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"WASHINGTON","2019","17","152",,"244",,"2591",,"3960",,,"-","2",,,"-","4",,,"-","1",,,"-","2",,"
, WASHINGTON 
(47.411715, -120.592492)",
"NEW JERSEY","2019","17","128",,"237",,"2927",,"2621",,,"-","10",,"31",,"64",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.110253, -74.655514)",
"SOUTH ATLANTIC","2019","17","797",,"2725",,"27435",,"41010",,"11",,"44",,"422",,"491",,,"-","1",,"1",,"1",,,"
, SOUTH ATLANTIC "
"MARYLAND","2019","17","5",,"249",,"1845",,"3315",,"2",,"8",,"44",,"55",,,"-","1",,"1",,,"-","
, MARYLAND 
(38.946466, -76.687282)",
"OKLAHOMA","2019","17","18",,"207",,"1904",,"2783",,"1",,"8",,"35",,"36",,,"-","0",,,"-",,"-","
, OKLAHOMA 
(35.583449, -97.508297)",
"NEW YORK","2019","17","216",,"304",,"3280",,"3333",,"7",,"17",,"78",,"67",,,"-","1",,,"-","1",,"
, NEW YORK 
(42.921241, -75.59655)",
"SOUTH DAKOTA","2019","17",,"-","58",,"358",,"507",,,"-","2",,"8",,"7",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.43614, -100.230491)",
"US RESIDENTS","2019","17","3808",,"11914",,"139813",,"171055",,"47",,"199",,"1804",,"2040",,,"-","3",,"3",,"10",,,"
, US RESIDENTS "
"WISCONSIN","2019","17","99",,"199",,"2444",,"2374",,,"-","6",,"9",,"40",,,"-","1",,"1",,,"-","
, WISCONSIN 
(44.639954, -89.732969)",
"ALASKA","2019","17",,"-","60",,,"-","752",,,"-","3",,"9",,"14",,,"-","0",,,"-",,"-","
, ALASKA 
(63.631126, -151.631889)",
"NORTHERN MARIANA ISLANDS","2019","17",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"WEST NORTH CENTRAL","2019","17","272",,"912",,"10679",,"11707",,,"-","11",,"79",,"100",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"U.S. VIRGIN ISLANDS","2019","17",,"-","4",,,"-","10",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"MINNESOTA","2019","17","10",,"189",,"1610",,"2404",,,"-","3",,"1",,"3",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.349153, -94.198308)",
"NEBRASKA","2019","17","10",,"106",,"567",,"918",,,"-","3",,"8",,"9",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.527099, -99.810595)",
"NEW YORK CITY","2019","17","302",,"687",,"8634",,"7398",,"2",,"7",,"53",,"52",,,"-","0",,,"-",,"-",,"
, NEW YORK CITY "
"ALABAMA","2019","17","249",,"407",,"4445",,"3913",,,"-","7",,"39",,"37",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.756889, -86.844516)",
"UTAH","2019","17","29",,"81",,"789",,"889",,,"-","3",,"15",,"19",,,"-","0",,,"-",,"-","
, UTAH 
(39.323779, -111.678222)",
"SOUTH CAROLINA","2019","17",,"-","462",,,"-","7466",,,"-","6",,"29",,"57",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(33.878572, -80.864614)",
"NON-US RESIDENTS","2019","17",,"-",,"NC","2",,,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"NEW ENGLAND","2019","17","121",,"301",,"2896",,"3329",,"2",,"12",,"86",,"91",,,"-","1",,,"-","1",,,"
, NEW ENGLAND "
"MASSACHUSETTS","2019","17","83",,"191",,"2269",,"2534",,"2",,"7",,"35",,"44",,,"-","1",,,"-",,"-","
, MASSACHUSETTS 
(42.151077, -71.481104)",
"US TERRITORIES","2019","17",,"-","19",,"91",,"171",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"OHIO","2019","17","180",,"593",,"7694",,"7547",,"9",,"14",,"130",,"89",,,"-","2",,,"-","1",,"
, OHIO 
(40.415534, -82.70936)",
"VERMONT","2019","17","2",,"14",,"4",,"93",,,"-","3",,"4",,"6",,,"-","0",,,"-",,"-","
, VERMONT 
(44.075252, -72.662695)",
"GUAM","2019","17",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"RHODE ISLAND","2019","17","26",,"139",,"308",,"285",,,"-","4",,"8",,"7",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.572574, -71.534637)",
"TENNESSEE","2019","17","122",,"392",,"3963",,"4512",,,"-","9",,"80",,"66",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.842998, -86.343226)",
"OREGON","2019","17","94",,"158",,"1808",,"1895",,,"-","7",,"34",,"40",,,"-","0",,,"-",,"-","
, OREGON 
(43.940449, -120.605279)",
"IOWA","2019","17",,"-","120",,"1464",,"1429",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.074659, -93.500061)",
"WYOMING","2019","17",,"-","15",,"108",,"93",,,"-","1",,,"-","2",,,"-","0",,,"-",,"-","
, WYOMING 
(42.999627, -107.55145)",
"MIDDLE ATLANTIC","2019","17","862",,"1506",,"19577",,"18397",,"12",,"30",,"240",,"279",,,"-","1",,,"-","1",,,"
, MIDDLE ATLANTIC "
"WEST SOUTH CENTRAL","2019","17","148",,"1655",,"6169",,"24153",,"4",,"58",,"227",,"275",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"GEORGIA","2019","17","111",,"463",,"4131",,"7249",,,"-","11",,"78",,"92",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.638481, -83.426574)",
"MISSOURI","2019","17","210",,"389",,"4747",,"4577",,,"-","10",,"54",,"62",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.3675, -92.477244)",
"NEW HAMPSHIRE","2019","17","8",,"23",,"157",,"204",,,"-","3",,"11",,"12",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.680429, -71.57139)",
"MONTANA","2019","17","13",,"36",,"413",,"340",,,"-","2",,"9",,"9",,,"-","1",,,"-",,"-","
, MONTANA 
(47.033521, -109.645127)",
"NEVADA","2019","17","34",,"158",,"1678",,"1887",,"1",,"5",,"17",,"12",,,"-","0",,,"-",,"-","
, NEVADA 
(39.283294, -114.916992)",
"ARKANSAS","2019","17",,"-","183",,"695",,"2321",,"3",,"8",,"42",,"27",,,"-","0",,,"-",,"-","
, ARKANSAS 
(34.899825, -92.439162)",
"MICHIGAN","2019","17","122",,"443",,"4869",,"4749",,,"-","7",,"43",,"74",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.874798, -85.730977)",
"IOWA","2019","18",,"-","120",,"1464",,"1524",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, IOWA 
(42.074659, -93.500061)",
"CONNECTICUT","2019","18",,"U",,"NC",,"U",,"U",,"-","5",,"16",,"17",,,"-","0",,,"-",,"-","
, CONNECTICUT 
(41.575155, -72.738288)",
"KENTUCKY","2019","18",,"-","1730",,"1029",,"1033",,,"-","8",,"35",,"47",,,"-","1",,,"-",,"-","
, KENTUCKY 
(37.526683, -85.290484)",
"MASSACHUSETTS","2019","18",,"-","191",,"2269",,"2683",,,"-","7",,"35",,"46",,,"-","1",,,"-","1",,"
, MASSACHUSETTS 
(42.151077, -71.481104)",
"INDIANA","2019","18","66",,"326",,"3312",,"3993",,,"-","8",,"55",,"68",,,"-","2",,,"-",,"-","
, INDIANA 
(39.919991, -86.2818)",
"NORTH CAROLINA","2019","18","17",,"550",,"6715",,"7697",,,"-","10",,"72",,"72",,,"-","1",,,"-",,"-","
, NORTH CAROLINA 
(35.52603, -79.130883)",
"PUERTO RICO","2019","18",,"-","19",,"97",,"175",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, PUERTO RICO 
(18.215692, -66.414655)",
"DELAWARE","2019","18",,"-","79",,"588",,"446",,,"-","3",,"9",,"8",,,"-","0",,,"-",,"-","
, DELAWARE 
(38.994926, -75.452394)",
"NEW YORK","2019","18","232",,"304",,"3510",,"3533",,"3",,"17",,"81",,"73",,,"-","1",,,"-","1",,"
, NEW YORK 
(42.921241, -75.59655)",
"MICHIGAN","2019","18","161",,"443",,"5219",,"5075",,,"-","7",,"48",,"76",,,"-","1",,,"-",,"-","
, MICHIGAN 
(44.874798, -85.730977)",
"WEST NORTH CENTRAL","2019","18","278",,"912",,"11234",,"12402",,"1",,"11",,"82",,"104",,,"-","1",,,"-",,"-",,"
, WEST NORTH CENTRAL "
"GUAM","2019","18",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, GUAM 
(13.3532, 144.653198)",
"VERMONT","2019","18",,"-","14",,"4",,"95",,,"-","3",,"4",,"6",,,"-","0",,,"-",,"-","
, VERMONT 
(44.075252, -72.662695)",
"NEW ENGLAND","2019","18","3",,"301",,"2920",,"3526",,,"-","12",,"88",,"98",,,"-","1",,,"-","2",,,"
, NEW ENGLAND "
"U.S. VIRGIN ISLANDS","2019","18",,"-","4",,,"-","10",,,"N",,"NC",,"N",,"N",,"-","0",,,"-",,"-","
, VIRGIN ISLANDS 
(18.060868, -64.840836)",
"SOUTH DAKOTA","2019","18",,"-","58",,"367",,"540",,,"-","2",,"9",,"7",,,"-","0",,,"-",,"-","
, SOUTH DAKOTA 
(44.43614, -100.230491)",
"MISSISSIPPI","2019","18","24",,"277",,"2721",,"3214",,,"-","4",,"28",,"34",,,"-","0",,,"-",,"-","
, MISSISSIPPI 
(32.713378, -89.65344)",
"MOUNTAIN","2019","18","204",,"888",,"12043",,"12403",,"10",,"20",,"227",,"181",,,"-","1",,,"-","2",,,"
, MOUNTAIN "
"MINNESOTA","2019","18","7",,"189",,"1766",,"2539",,,"-","3",,"1",,"4",,,"-","0",,,"-",,"-","
, MINNESOTA 
(46.349153, -94.198308)",
"SOUTH CAROLINA","2019","18",,"-","462",,,"-","7921",,,"-","6",,"39",,"59",,,"-","0",,,"-",,"-","
, SOUTH CAROLINA 
(33.878572, -80.864614)",
"PACIFIC","2019","18","452",,"2218",,"29990",,"33966",,"2",,"9",,"83",,"94",,,"-","1",,,"-","2",,,"
, PACIFIC "
"MARYLAND","2019","18","6",,"249",,"2068",,"3495",,"4",,"8",,"48",,"56",,,"-","1",,"1",,,"-","
, MARYLAND 
(38.946466, -76.687282)",
"KANSAS","2019","18","38",,"131",,"1644",,"1604",,,"-","1",,,"-","12",,,"-","0",,,"-",,"-","
, KANSAS 
(38.484729, -98.38018)",
"EAST SOUTH CENTRAL","2019","18","336",,"2265",,"12476",,"13162",,"2",,"18",,"186",,"192",,,"-","1",,,"-",,"-",,"
, EAST SOUTH CENTRAL "
"UTAH","2019","18","33",,"81",,"828",,"939",,"2",,"3",,"17",,"20",,,"-","0",,,"-",,"-","
, UTAH 
(39.323779, -111.678222)",
"WISCONSIN","2019","18","90",,"199",,"2582",,"2511",,,"-","6",,"9",,"44",,,"-","1",,"1",,"1",,"
, WISCONSIN 
(44.639954, -89.732969)",
"WASHINGTON","2019","18","185",,"244",,"2776",,"4143",,,"-","2",,"3",,"4",,,"-","1",,,"-","2",,"
, WASHINGTON 
(47.411715, -120.592492)",
"HAWAII","2019","18",,"-","45",,,"-","455",,,"-","3",,"15",,"16",,,"-","0",,,"-",,"-","
, HAWAII 
(21.361013, -157.854309)",
"RHODE ISLAND","2019","18",,"-","139",,"308",,"299",,,"-","4",,"8",,"8",,,"-","1",,,"-",,"-","
, RHODE ISLAND 
(41.572574, -71.534637)",
"AMERICAN SAMOA","2019","18",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, AMERICAN SAMOA "
"TENNESSEE","2019","18","86",,"392",,"4049",,"4778",,"2",,"9",,"84",,"70",,,"-","0",,,"-",,"-","
, TENNESSEE 
(35.842998, -86.343226)",
"MIDDLE ATLANTIC","2019","18","848",,"1506",,"20711",,"19595",,"7",,"30",,"260",,"297",,,"-","1",,,"-","1",,,"
, MIDDLE ATLANTIC "
"NON-US RESIDENTS","2019","18",,"-",,"NC","2",,,"NP",,"-",,"NC",,"-",,"NP",,"-",,"NC",,"-",,"NP",,"
, NON-US RESIDENTS "
"OREGON","2019","18","122",,"158",,"1929",,"2000",,"1",,"7",,"35",,"41",,,"-","0",,,"-",,"-","
, OREGON 
(43.940449, -120.605279)",
"ALABAMA","2019","18","226",,"407",,"4677",,"4137",,,"-","7",,"39",,"41",,,"-","0",,,"-",,"-","
, ALABAMA 
(32.756889, -86.844516)",
"TEXAS","2019","18",,"-","1070",,,"-","16439",,,"-","45",,"123",,"185",,,"-","1",,"1",,,"-","
, TEXAS 
(31.447238, -99.317341)",
"WYOMING","2019","18",,"-","15",,"111",,"97",,,"-","1",,,"-","2",,,"-","0",,,"-",,"-","
, WYOMING 
(42.999627, -107.55145)",
"VIRGINIA","2019","18","256",,"356",,"4536",,"3967",,"2",,"13",,"55",,"48",,,"-","0",,,"-",,"-","
, VIRGINIA 
(37.510861, -78.666382)",
"COLORADO","2019","18",,"-","269",,"2822",,"2807",,"3",,"8",,"52",,"46",,,"-","0",,,"-","1",,"
, COLORADO 
(38.998552, -105.547832)",
"MONTANA","2019","18",,"-","36",,"413",,"369",,,"-","2",,"9",,"10",,,"-","1",,,"-",,"-","
, MONTANA 
(47.033521, -109.645127)",
"FLORIDA","2019","18","404",,"774",,"10807",,"10440",,"9",,"14",,"133",,"146",,,"-","0",,,"-",,"-","
, FLORIDA 
(28.260731, -82.420978)",
"NEVADA","2019","18","84",,"158",,"1842",,"2022",,,"-","5",,"18",,"12",,,"-","0",,,"-",,"-","
, NEVADA 
(39.283294, -114.916992)",
"ILLINOIS","2019","18",,"-","590",,"3375",,"8077",,,"-","9",,"64",,"88",,,"-","0",,,"-","2",,"
, ILLINOIS 
(40.124144, -89.148632)",
"IDAHO","2019","18","20",,"52",,"489",,"280",,,"-","3",,"17",,"8",,,"-","0",,,"-",,"-","
, IDAHO 
(44.389073, -114.659366)",
"OHIO","2019","18","225",,"593",,"8176",,"7973",,"8",,"14",,"138",,"94",,,"-","2",,,"-","1",,"
, OHIO 
(40.415534, -82.70936)",
"NORTHERN MARIANA ISLANDS","2019","18",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"-","0",,,"-",,"-","
, NORTHERN MARIANA ISLANDS 
(15.1834, 145.725693)",
"NORTH DAKOTA","2019","18",,"-","41",,"375",,"382",,,"-","2",,"8",,"7",,,"-","0",,,"-",,"-","
, NORTH DAKOTA 
(47.446305, -100.46931)",
"MISSOURI","2019","18","233",,"389",,"5051",,"4853",,"1",,"10",,"56",,"65",,,"-","0",,,"-",,"-","
, MISSOURI 
(38.3675, -92.477244)",
"US RESIDENTS","2019","18","3431",,"12553",,"147845",,"191690",,"49",,"202",,"1934",,"2133",,,"-","3",,"3",,"12",,,"
, US RESIDENTS "
"PENNSYLVANIA","2019","18","195",,"377",,"4995",,"5374",,"3",,"12",,"90",,"104",,,"-","0",,,"-",,"-","
, PENNSYLVANIA 
(40.896694, -77.838886)",
"US TERRITORIES","2019","18",,"-","19",,"97",,"185",,,"-","0",,,"-",,"-",,"-","0",,,"-",,"-",,"
, US TERRITORIES "
"LOUISIANA","2019","18","63",,"294",,"3717",,"3765",,,"-","8",,"37",,"37",,,"-","0",,,"-",,"-","
, LOUISIANA 
(30.921314, -91.840238)",
"NEBRASKA","2019","18",,"-","106",,"567",,"960",,,"-","3",,"8",,"9",,,"-","1",,,"-",,"-","
, NEBRASKA 
(41.527099, -99.810595)",
"EAST NORTH CENTRAL","2019","18","542",,"1988",,"22664",,"27629",,"8",,"35",,"314",,"370",,,"-","2",,"1",,"4",,,"
, EAST NORTH CENTRAL "
"DISTRICT OF COLUMBIA","2019","18",,"-","109",,,"-","1418",,,"-","3",,"5",,"5",,,"-","0",,,"-",,"-","
, DISTRICT OF COLUMBIA 
(38.904785, -77.016275)",
"GEORGIA","2019","18",,"-","463",,"4131",,"7674",,,"-","11",,"79",,"99",,,"-","0",,,"-",,"-","
, GEORGIA 
(32.638481, -83.426574)",
"ARIZONA","2019","18","60",,"305",,"4153",,"4215",,"5",,"8",,"93",,"58",,,"-","1",,,"-",,"-","
, ARIZONA 
(34.293239, -111.664616)",
"NEW MEXICO","2019","18","7",,"135",,"1385",,"1674",,,"-","3",,"21",,"25",,,"-","0",,,"-","1",,"
, NEW MEXICO 
(34.421369, -106.108388)",
"WEST SOUTH CENTRAL","2019","18","84",,"1655",,"6600",,"25594",,"4",,"58",,"241",,"287",,,"-","1",,"1",,,"-",,"
, WEST SOUTH CENTRAL "
"NEW JERSEY","2019","18","131",,"237",,"3084",,"2764",,,"-","10",,"35",,"65",,,"-","0",,,"-",,"-","
, NEW JERSEY 
(40.110253, -74.655514)",
"NEW HAMPSHIRE","2019","18","3",,"23",,"164",,"216",,,"-","3",,"11",,"12",,,"-","0",,,"-","1",,"
, NEW HAMPSHIRE 
(43.680429, -71.57139)",
